task_id,cover_id,severity,macro_array_index,macro_phase_index,macro_start_sec,macro_end_sec,macro_duration_sec,child_count,child_array_indices,child_start_sec,child_end_sec,child_span_sec,coverage_ratio,macro_caption,child_captions
019e09ed-3609-714e-b2c4-b0b1d745487e,CG-000001,high,2,2,29.744,43.804,14.06,2,"5,6",32.5,41.916,9.416,0.67,"The right hand lifts the tall clear bottle containing a black liquid while the left hand holds the tall clear bottle containing a black liquid, and then the left hand releases the tall clear bottle containing a black liquid and reaches to pick a black cap and places the black cap on the tall clear bottle containing a black liquid and twists it in an anticlockwise direction to tighten it. And both hands place the tall clear bottle on the counter and lift both hands off the tall clear bottle containing a black liquid beside the bottle containing a brown liquid.","The left hand places the small clear glass bottle in the corner of the counter while the right hand stays idle. || The left hand grasps the clear glass bottle containing dark liquid while the right hand picks up the black plastic pump lid, places it onto the bottle, and twists it to tighten."
019e09ed-3609-714e-b2c4-b0b1d745487e,CG-000002,critical,3,3,43.804,54.766,10.962,2,"8,9",45.333,54.75,9.417,0.859,"The right picks up a red cap, and both hands hold the cap, and then the right releases the red cap and picks up a red-labeled bottle while the left hand places the red cap on the red-labeled bottle and twists it in an anticlockwise direction to tighten it. Both hands then place the bottle on the counter next to the tall clear bottle containing a black liquid and release the bottle.","The left hand grasps the large clear glass bottle containing reddish liquid while the right hand picks up the small red cap, places it onto the bottle, and twists it to tighten. || The left hand carries the large clear glass bottle containing reddish liquid to the corner of the counter and sets it down."
019e09ed-3609-73f6-b025-e62f04907a49,CG-000003,critical,7,7,48.333,80.75,32.417,2,"8,9",60.0,77.667,17.667,0.545,"The left hand picks up a black cable. The right hand repeatedly loops the black data cable around the fingers of the left hand, which holds the growing coil steady.","Both hands grasp and lift the grey data cable from the white table, and the right hand begins wrapping the cable around the left hand's fingers while the left hand holds the starting end steady. || The right hand repeatedly loops the grey data cable around the fingers of the left hand, which holds the forming coil."
019e09ed-3608-7be5-92f2-d808b5928711,CG-000004,critical,11,11,63.75,94.667,30.917,2,"9,10",63.75,80.0,16.25,0.526,The left hand picks up another glass cup. Both hands rub and rinse the glass cup under the running water. The right hand places the cup on the edge of the sink next to the cleaned cups while the left hand picks up another cup.,  ||  
019e09ed-360a-75ab-a2fe-cfe7d4c96091,CG-000005,high,5,5,46.333,65.667,19.334,2,"6,11",55.0,65.333,10.333,0.534,"The left hand picks up a dirty white plate from the counter and brings it under the running water, the right hand scrubs the plate with the yellow sponge, and the left hand places the clean plate into the grey dish drying rack.","The left hand picks up a dirty white plate from the counter and brings it under the running water, the right hand scrubs the plate with the yellow sponge, and the left hand places the clean plate into the grey dish drying rack. || "
019e09ed-360a-75e1-b489-c74642b1025c,CG-000006,high,3,3,18.55,36.1,17.55,2,"4,5",25.666,34.834,9.168,0.522,"Lower both hands, and then the right hand grasps and unplugs a white charger from the white power strip, and the left hand grasps the charger body, while the right hand wraps the attached white cable around the charger body, while the left hand holds the charger.", || 
019e09ed-3607-713b-9492-6e55169e6c62,CG-000007,critical,2,2,14.8,34.0,19.2,3,"3,4,5",16.667,33.083,16.416,0.855,"Both hands move to the right over the light blue pajama shirt on the bed. While the left hand presses the left side of the pajamas, the righ thand fasten the buttons from top to bottom, then both hands smooth it at the bottom.","The right hand folds the right sleeve of the patterned pajama shirt inwards, and the left hand folds the left sleeve inwards. || Both hands grasp the bottom hem of the patterned pajama shirt, fold it upwards twice, and lift the bundled fabric from the bed. || Both hands place the folded patterned pajama shirt back onto the bed, lift it, and carry it to the left side of the bed to release it."
019e09ed-3607-7038-8ddc-baef65f0cc3c,CG-000008,critical,6,6,0.0,76.333,76.333,6,"0,1,2,3,4,5",0.0,76.167,76.167,0.998,"Both hands lower down from the upper shelf to the table to reach towards the pink towel, grasp it, fold it over itself into a neat rectangular stack, and place it on the table. Then both hands reach for two yellow towels and two light blue ones. They fold them all the same way and place them on the table. Then, both hands reach upwards for the green tray, lower it onto the table, and place all folded towels inside the tray. Then both hands return the tray to the upper shelf.","Both hands lower down to reach out and grasp the pink towel lying on the table, fold it over itself to form a compact rectangular stack, and place it back onto the table. || Both hands reach towards the yellow towel, grasp it, fold it over itself into a neat rectangular stack, and place it onto the table, then both hands reach for two yellow towels and two light blue ones. They fold them all the same way and place them on the table. Then, both hands reach upwards for the green tray, lower it onto the table and place all folded towels inside the tray. Then bpth hands return the tray back to the upper shelf. || Both hands lift the blue towel and fold its edges inward, the left hand folds the left side to the right, and both hands fold the bottom edge up to the top to form a rectangular stack, adjust it, and release it on the table. || The left hand grasps the folded blue towel while the right hand grasps the folded pink towel, the left hand places the blue towel onto the folded yellow towel, the right hand places the pink towel on top of the blue towel, and both hands grasp the sides of the combined towel stack. || Both hands lift the towel stack, place it into the green rectangular tray, adjust its alignment, and press down firmly on the top of the stack. || Both hands withdraw from the green rectangular tray and rest idle near the edge of the table."
019e0de6-814d-7bcf-95f1-e618c37bcf09,CG-000009,critical,0,0,0.0,26.268,26.268,2,"1,2",8.333,20.333,12.0,0.457,"The left hand holds and pulls the left top corner of the blue hand towel, while the right hand holds the other towels steady. Then both hands hold the corners of the blue towel and lift it. Then the hands place the blue towel flat on the desk, the right hand folds the right top corner, and the left hand folds the left top corner towards the center of the blue towel, then both hands slide the towel slightly upward. Then the left hand folds the right bottom corner of the blue towel towards the center, while the right hand fixes the middle of the right side of the blue towel. Then both hands rotate the blue towel to the right, and the right hand folds the remaining corner towards the center of the blue towel. Then both hands hold the blue towel from the bottom and fold it towards the top, and hit the towel with both hands to straighten the folded towel. Then both hands rotate the towel towards the left. Then both hands hold the blue towel from the bottom and fold a quarter of it towards the top three times. Then both hands grab the folded blue towel, lift it, move it to the left, and place it inside a green tray. Then both hands move to the right to the other towels.
",Both hands grasp the top corners of the light blue hand towel and fold them downward to the center to form a point. || The left hand folds the left side of the light blue hand towel inward across the center while the right hand rests on the right side of the towel.
019e0de6-814c-7eec-bad8-b5a3b368ffd5,CG-000010,high,14,14,85.933,102.417,16.484,2,"15,16",87.84,97.8,9.96,0.604,"Both hands fold the left half of the folded yellow cloth to the center and then the right side to the center to form a compact square. Then, with both hands, they fold the left half over the right half, and both hands lift the fully folded yellow cloth, carry it to the left, and place it on top of the blue middle cloth in the grey plastic bin before the hands retract to the right.","Both hands reach out and grasp a yellow cloth from the pile on the right, carry it to the center, lay it flat onto the blue mat, and fold the top and bottom edges of the yellow cloth toward the center. || Both hands fold the left and right ends of the yellow cloth inward, fold the right half over the left half to complete the small square, lift the fully folded cloth from the mat, and place it into the white container."
019e08fc-9af8-7a15-9b2b-746036b0cf50,CG-000011,critical,1,1,12.333,28.333,16.0,3,"2,3,4",14.917,28.083,13.166,0.823,"Turns left towards the open drawer while both hands stay idle, then reaches down with both hands to grasp and pick up a white flower-shaped plate then turns towards the countertop while holding the plate. The both hands place the white flower-shaped plate on the stack","Walks to the right toward the sink counter and uses both hands to place the white flower-shaped plate on top of the identical plate on the counter. || Both hands stay idle as the body turns left and walks back to the open drawer, then both hands reach in to grasp and lift a white flower-shaped plate. || Walks to the right and stops facing the sink counter, using both hands to place the white flower-shaped plate onto the stack of plates."
019e0de6-814d-7efe-972c-595f3debf493,CG-000012,critical,0,0,0.0,23.333,23.333,2,"1,2",8.0,23.0,15.0,0.643,"The left hand and right hand reach toward a green garment on the beige bed and grasp it. Both hands lift and spread the green garment flat onto the bed surface. The left hand and right hand fold the sleeves and sides of the garment inward, then fold the garment in half horizontally to form a rectangle. Both hands lift the folded green garment and set it on the left side of the bed. Both hands then move away and return to a high default position.
","Both hands smooth the light green t-shirt flat on the bed and fold the right and left sleeves inward. || Both hands grasp the bottom edge of the light green t-shirt, fold it up towards the neckline, fold it left-to-right into a compact rectangle, and place it on the left side of the bed."
019e0de6-814d-7efe-972c-595f3debf493,CG-000013,critical,4,4,44.333,66.333,22.0,3,"6,7,8",44.667,66.333,21.666,0.985,"The left hand and right hand reach toward the black garment with the small orange graphic and grasp it. Both hands lift the black garment and spread it flat on the beige bed. The left hand and right hand fold the sleeves and sides inward, then fold the garment in half horizontally twice to form a rectangle. Both hands lift the folded black garment and set it on top of the stack of garments on the left side of the bed. Both hands then move away and return to a high default position. ","The right hand grasps and lifts the crumpled black t-shirt from the bed while the left hand stays idle, and both hands hold the garment in the air and lay it flat on the bed face up. || Both hands grasp the bottom corners of the black t-shirt, fold the bottom edge up to the collar, and smooth the fabric flat on the bed. || Both hands fold the black t-shirt in half vertically from right to left and smooth the folded garment on the bed."
019e0de6-814b-74b7-a049-4642b7d746db,CG-000014,critical,1,1,19.333,42.333,23.0,2,"4,5",24.0,41.417,17.417,0.757,"Both hands move toward a grey pillow, lift it from the pink bed cover, and place it on the lap. Both hands turn the pillowcase flap outward. The right hand holds the fabric in place while the left hand slides the zipper pull toward the left across the opening. Both hands then pull the grey pillowcase flap over the white zipper. The right hand holds the pillow on the right side while the left hand holds it on the left side, lifting it from the lap and placing it back onto the pink bed cover. Both hands then move away and return to a high default position.
","The right hand adjusts its grip on the zipper pull of the gray pillowcase and pulls the zipper closed while the left hand holds the fabric. || The right hand pulls the zipper to fully close the gray pillowcase, and both hands pick it up and place it slightly to the right on the bed."
019e0de6-814b-74b7-a049-4642b7d746db,CG-000015,critical,2,2,42.333,68.333,26.0,2,"7,8",44.333,62.5,18.167,0.699,"Both hands reach toward the grey pillow on the pink bed cover, lift it, and place it on the lap.  The left hand reaches into the pillow opening and pushes the white inner fabric inward while the right hand grasps the zipper pull and slides it horizontally toward the left side of the grey pillowcase. The left hand then grasps the grey pillow by its left edge, adjusting it vertically while positioning it properly inside the pink pillowcase, as the right hand continues pulling the zipper to the end of the track. Both hands pull the grey pillowcase flap over the white zipper, then place the grey pillow onto the pink bed cover, resting against another grey pillow. Both hands moves away and returning to a high default position.","The right hand pulls the zipper along the track to close the gray pillowcase while the left hand holds the fabric steady. || The right hand finishes pulling the zipper and adjusts its grip, and both hands lift, rotate the gray pillowcase horizontally, and lay it flat on the bed."
019e0de6-814b-74b7-a049-4642b7d746db,CG-000016,critical,3,3,68.333,93.667,25.334,2,"10,11",68.667,82.667,14.0,0.553,"Both hands reach toward the grey pillowcase, lift it, and place it on the lap. The right hand grasps the zipper pull and slides it along the edge of the pillowcase, briefly releasing and re-grasping it, while the left hand smooths and holds the grey pillowcase flap in place. The right hand then pulls the zipper to the end of the track to fully close the pillowcase, after which both hands release the pillowcase on the pink bed cover, resting against another grey pillow. Both hands return to a high default position.","The right hand pinches the zipper pull of the gray pillowcase and pulls it to the left to close the opening while the left hand grips the edge of the fabric. || Both hands push the gray pillowcase against the headboard, and the right hand reaches back to pinch the zipper pull again."
019e08fc-9afe-7e8d-bca3-f67e78d1abe9,CG-000017,critical,1,1,12.0,33.333,21.333,2,"2,3",12.0,29.111,17.111,0.802,"The right hand picks up the black lid while the left hand picks up the coffee ground container. The right hand tighten the lid on the coffee container. The left hand transfer the closed coffee ground container to the right hand and the right hand place the closed coffee container on the countertop while the left hand is idle. Both hand reach for the electric kettle, the right hand grabs the electric kettle handle and pick it up while the left hand rest on the kettle lid. The right hand tilts the electric and pours water into the cup and place the kettle on its base on the countertop.","The right hand places the black spoon on the counter, grasps the black lid, and twists the black lid to close the black jar while the left hand releases the black jar. || The right hand grasps the handle of the purple kettle, lifts it, and pours water into the paper cup while the left hand stays idle."
019e08fc-9afe-7e8d-bca3-f67e78d1abe9,CG-000018,high,6,6,59.667,78.667,19.0,2,"8,9",59.833,73.666,13.833,0.728,The right hand lowers the spoon towards the faucet and hold the spoon with both hands. The right hand scrubs the spoon bowl while the left hand holds the spoon handle. Both hands rinse the spoon under running water. The left hand holds the spoon while the right hand reach towards the faucet knob and turn off the faucet. The left hand transfer the spoon to the right hand,The right hand  || The right hand wipes the counter and sink edge with the green and grey cleaning cloth while the left hand stays idle.
019e0de6-814c-7464-9824-b97a76beb68a,CG-000019,critical,0,0,0.0,14.752,14.752,2,"1,2",3.172,14.752,11.58,0.785,"Both hands reach forward, grasp, and pick up the closest yellow cloth napkin from the cluster of napkins on the bed, then place it flat on the bed with the held edge positioned farther from the body. Both hands then fold the top corners of the napkin inward to create a pointed shape and press down on the edges to smooth the creases flat. The left hand then folds the bottom right side of the napkin inward and remains idle while the right hand folds the bottom left side to form a diamond shape.",Both hands fold the top corners of the yellow cloth napkin inward to create a pointed shape and press down on the edges to smooth the creases flat. || The left hand folds the bottom right side of the napkin inward and remains idle then the right hand folds the bottom left side to form a diamond shape.
019e08fc-9afd-725c-a646-24677fb7aab1,CG-000020,critical,6,6,65.667,98.333,32.666,2,"7,8",74.166,98.333,24.167,0.74,The right hand picks up the cloth from the countertop while the left hand grabs the black cloth alongside the right hand after it was picked up. Both hands fold and wring out the black cloth. The both hands unfolds the black cloth and place the black cloth in the sink basket with the left hand while the right hand remains idle,"The right hand drops the second purple rag onto the counter pile and picks up the brownish grey rag, and both hands twist and wring it over the sink. || The right hand places the brownish grey rag onto the counter pile and grasps the greenish-grey rag, and both hands twist and wring it over the sink."
019e08fc-9afd-725c-a646-24677fb7aab1,CG-000021,critical,9,9,98.333,125.667,27.334,2,"10,11",104.667,122.584,17.917,0.655,The right hand picks up the cloth from the countertop while the left hand grabs the black cloth alongside the right hand after it was picked up. Both hands fold and wring out the black cloth. The both hands unfolds the black cloth and place the black cloth in the sink basket with the left hand while the right hand remains idle,"Both hands twist and wring the light grey rag over the sink. || The right hand drops the light grey rag onto the counter and picks up the green rag, and both hands twist and wring it over the sink."
019e08fc-9afd-725c-a646-24677fb7aab1,CG-000022,critical,15,15,151.667,192.834,41.167,2,"16,17",171.0,192.834,21.834,0.53,The left hand wipes the countertop with the cloth while the right hand remains idle. The left hand picks up the cloth while the right hand reach toward the cloth being held. The both hands fold and wring out the cloth. The both hands unfold the cloth and place the cloth in the sink basket with the left hand while the right hand is idle,"The left hand drops the second multi-colored rag into the sink and picks up the brownish grey rag from the basin, and both hands twist it repeatedly to wring out water. || The left hand drops the brownish grey rag into the sink basin and lifts the third dark grey rag from the edge of the sink, and both hands twist it tightly to wring out water."
019e08fc-9afd-7ecb-9f20-0b1db572d015,CG-000023,critical,0,0,0.0,24.0,24.0,3,"1,2,3",7.667,24.0,16.333,0.681,The right hand reach towards the cleaver while the left hand is idle. The right hand picks up the cleaver while the left hand grabs the potato on the chopping board. The right hand cuts the potato in half with the cleaver while the left hand holds the potato steady. The right hand chops the potato with the cleaver while the left hand holds the potato steady,The right hand reach towards the cleaver on the countertop while the left hand is idle. The right hand  || The right hand brings the metal cleaver down and repeatedly chops across the potato slices to create potato chunks while the left hand holds the pieces together on the wooden cutting board. || The left hand pushes the potato chunks toward the corner of the wooden cutting board to clear the workspace while the right hand rests the metal cleaver on the board.
019e08fc-9afd-7ecb-9f20-0b1db572d015,CG-000024,critical,4,4,24.0,49.0,25.0,2,"5,6",31.5,46.667,15.167,0.607,The left hand rotate and adjust the potato while the right hand chops the potato with the cleaver. The right hand lifts the cleaver while the left hand transfers the chopped potato from the cleaver blade to the chopping board and push the chopped potatoes aside on the chopping board,The left hand gathers and rotates the newly cut potato slices on the wooden cutting board while the right hand holds the metal cleaver nearby. || The right hand repeatedly chops across the stacked potato slices with the metal cleaver to create potato chunks while the left hand holds the pieces steady and reaches for a new potato piece.
019e08fc-9afd-7ecb-9f20-0b1db572d015,CG-000025,critical,7,7,49.0,84.0,35.0,3,"8,9,10",51.5,79.333,27.833,0.795,The left hand grasps the potato and holds it steady on the wooden cutting board while the right hand slices the potato with the cleaver. The left hand adjusts the white both while the right hand holds the cleaver above the cutting board,"The left hand rotates the stack of yellow potato slices on the wooden cutting board, and the right hand brings the metal cleaver down to chop the slices into small cubes. || The left hand pushes the potato chunks aside and grasps a new yellow potato piece on the wooden cutting board, and the right hand aligns and slices the piece with the metal cleaver. || The left hand rotates the sliced yellow potato piece on the wooden cutting board while the right hand holds the metal cleaver and chops the pieces into small cubes."
019e0de6-814b-721f-a4c6-ad3704f7cfc0,CG-000026,critical,0,0,0.0,36.0,36.0,3,"1,2,3",6.167,22.667,16.5,0.458,"Both hands reach toward the gray plaid pajama top on the bed and begin fastening the buttons from top to bottom, securing the collar button, middle button, and lower button in sequence. Both hands then fold the right sleeve inward, followed by the left sleeve, aligning them toward the center of the garment. The hands move to the bottom hem, with the right hand grasping the right corner and the left hand grasping the left corner, and fold the pajama top upward twice into a compact rectangle. Both hands lift and reposition the folded pajama top on the bed while the left hand folds the left side over the right side as the right hand steadies the garment. Finally, both hands lift the folded pajama top slightly and place it back onto the bed.
",Both hands move down the fabric and fasten the middle button of the gray plaid pajama top. || Both hands coordinate to secure a lower button on the gray plaid pajama top. || Both hands smooth the front of the gray plaid pajama top flat on the bed and shift their grasp to the sleeves.
019e09ed-3607-73d2-b112-5b2c4d3a8175,CG-000027,critical,0,0,0.0,82.333,82.333,8,"1,2,3,4,5,6,7,8",6.5,77.333,70.833,0.86,The left hand and the right hand  are lowered towards the wooden table and the both hands grasp the  wooden toothpicks into a bundle from the wooden table and holds it while the right hand repeatedly pinches small bunches of toothpicks from the bundle and drops them into the yellow holder base.,"The right hand pinches toothpicks from the bundle and places them into the yellow holder base and the left hand releases the bundle of wooden toothpicks onto the wooden table and scoops it back up. || The right hand repeatedly pinches small bunches of toothpicks from the bundle and drops them into the yellow holder base and the left hand drops the bundle of wooden toothpicks onto the wooden table and gathers it again. || The left hand holds the bundle of loose wooden toothpicks above the wooden table while the right hand repeatedly pinches small bunches of toothpicks from the bundle and drops them into the yellow holder base. || The right hand pinches and drops toothpicks into the yellow holder base and the left hand opens and releases the remaining bundle of wooden toothpicks onto the wooden table. || The right hand and the  left hand reaches to picks up the  toothpicks from the wooden table  and insert it into the yellow holder base. || The right hand  and the left hand gathers a bundle of loose wooden toothpicks from the wooden table and inserts them into the yellow holder base . || The right hand and the left hand reaches towards the wooden table, gathers more loose wooden toothpicks into a bundle and insert them into the yellow holder base . || The right hand and the left and moves the gathered bundle of wooden toothpicks and places them into the yellow holder base, and both hands pick up more bunches of toothpicks from the wooden table, transfer them to the base, and adjust them."
019e0de6-814c-7528-9f34-5aaef1ed76d3,CG-000028,high,8,8,69.333,88.0,18.667,2,"9,10",69.333,81.75,12.417,0.665,The left hand inserts the pink napkin into the golden brown clear glass and scrubs the inside and outside of the cup while the right hand turns the golden brown cup under the running water. ,The left hand scrubs the inside and exterior of the bulbous clear glass cup with the pink dishcloth under the running water while the right hand holds and rotates the cup. || The left hand scrubs the interior of the clear glass cup with the pink dishcloth while the right hand holds and slightly rotates the cup under the running water.
019e0de6-814b-7b08-9506-697dad15a6e8,CG-000029,critical,0,0,0.0,35.0,35.0,3,"3,4,5",17.333,34.084,16.751,0.479,Both hands reach out and grasp the collar of the floral dress shirt lying on the bed and fasten its top button. Both hands move down the floral dress shirt and fasten a button continuously. ,Both hands shift further down the floral dress shirt and fasten a button. || Both hands pinch the edges of the floral dress shirt and fasten a button. || Both hands grasp the fabric of the floral dress shirt and fasten a button.
019e0de6-814b-7b08-9506-697dad15a6e8,CG-000030,critical,1,1,35.0,58.0,23.0,3,"7,8,9",37.5,55.417,17.917,0.779,"Both hands moves towards the white clothing hanger, while the right hand lifts the white clothing hanger off the bed while the left hand is idle. The right hand inserts the white clothing hanger into the left side of the neck of the floral dress shirt while the left hand holds the collar. The left hand insert the right side of the hanger into the right side of the neck of the floral dress while the right hand holds the cloth. Both hands lift the shirt with the hanger off the bed. Both hands moves away from the bed towards the closet while carrying the floral dress shirt on the white clothing hanger.","The right hand inserts the white clothing hanger into the neck of the floral dress shirt while the left hand holds the collar, and both hands lift the shirt and hanger off the bed. || Turns away from the bed and walks across the bedroom toward the closet while both hands carry the floral dress shirt on the white clothing hanger. || Stops in front of the closed closet doors while both hands hold the floral dress shirt on the white clothing hanger."
